gameId,gameDate,homeTeam,awayTeam,homeFOW,awayFOW,homePPF,awayPPF
2024021235,2025-04-08,BUF,CAR,0.444444,0.555556,2,3
2024021025,2025-03-11,BOS,FLA,0.569444,0.430556,4,3
2025020903,2026-02-05,BUF,PIT,0.545455,0.454545,5,3
2020020371,2021-03-04,VAN,TOR,0.54,0.46,1,2
2024020071,2024-10-17,SEA,PHI,0.45614,0.54386,5,4
2022020417,2022-12-07,VGK,NYR,0.540984,0.459016,3,5
2021021128,2022-02-07,OTT,NJD,0.413043,0.586957,0,1
2023021231,2024-04-07,SJS,ARI,0.530612,0.469388,6,3
2022021117,2023-03-20,COL,CHI,0.54386,0.45614,1,2
2020020802,2021-05-01,CHI,FLA,0.446429,0.553571,4,1
2023020414,2023-12-09,WSH,NYR,0.603448,0.396552,3,1
2024021053,2025-03-14,ANA,NSH,0.458333,0.541667,2,3
2021020412,2021-12-10,BUF,NYR,0.472727,0.527273,2,2
2025020594,2025-12-27,WPG,MIN,0.533333,0.466667,3,4
2023020728,2024-01-22,VAN,CHI,0.447368,0.552632,3,5
2025020168,2025-10-30,OTT,CGY,0.657143,0.342857,4,4
2023020539,2023-12-27,CGY,SEA,0.666667,0.333333,4,2
2021020305,2021-11-26,BUF,MTL,0.490566,0.509434,1,2
2021020199,2021-11-11,NJD,NYI,0.472727,0.527273,2,3
2024021116,2025-03-22,EDM,SEA,0.557692,0.442308,5,3
2022020895,2023-02-18,VGK,TBL,0.454545,0.545455,2,3
2024030162,2025-04-21,DAL,COL,0.455882,0.544118,4,3
2022021303,2023-04-13,CBJ,PIT,0.5,0.5,4,2
2021020635,2022-01-15,EDM,OTT,0.546875,0.453125,3,3
2021020936,2022-03-12,CAR,PHI,0.557692,0.442308,2,2
2023020524,2023-12-23,STL,CHI,0.603448,0.396552,4,2
2022020655,2023-01-10,STL,CGY,0.45283,0.54717,2,2
2025020790,2026-01-21,UTA,PHI,0.433333,0.566667,3,6
2023021208,2024-04-04,NSH,STL,0.55,0.45,3,6
2025020772,2026-01-19,SEA,PIT,0.433962,0.566038,3,3
2021020292,2021-11-24,FLA,PHI,0.421053,0.578947,2,2
2020020477,2021-03-20,NJD,PIT,0.428571,0.571429,4,2
2025020728,2026-01-13,CBJ,CGY,0.553846,0.446154,4,3
2020030154,2021-05-23,STL,COL,0.526316,0.473684,2,3
2021020334,2021-11-29,MTL,VAN,0.5,0.5,2,2
2023020185,2023-11-07,ARI,SEA,0.5,0.5,4,3
2023020993,2024-03-07,BOS,TOR,0.396552,0.603448,5,4
2021020874,2022-03-04,TBL,DET,0.528302,0.471698,4,2
2021020532,2022-03-07,CGY,EDM,0.545455,0.454545,4,4
2024020401,2024-12-03,CAR,SEA,0.517857,0.482143,1,2
2021021311,2022-04-29,ARI,NSH,0.507937,0.492063,3,2
2020020330,2021-02-27,FLA,CAR,0.472222,0.527778,4,3
2023021120,2024-03-23,VAN,CGY,0.592593,0.407407,3,2
2020020647,2021-05-13,CGY,VAN,0.385965,0.614035,4,1
2020020515,2021-03-25,BOS,NYI,0.555556,0.444444,4,1
2022020124,2022-10-28,CAR,NYI,0.539683,0.460317,3,1
2024020397,2024-12-03,BUF,COL,0.491228,0.508772,3,1
2022020463,2022-12-13,CHI,WSH,0.609756,0.390244,3,1
2021020010,2021-10-14,FLA,PIT,0.542857,0.457143,6,9
2020020064,2021-01-21,OTT,WPG,0.44898,0.55102,3,7
2024021109,2025-03-22,LAK,CAR,0.508475,0.491525,2,2
2022020455,2022-12-13,FLA,CBJ,0.511111,0.488889,3,3
2020020024,2021-01-16,NYR,NYI,0.446429,0.553571,8,4
2024021117,2025-03-22,SJS,BOS,0.458333,0.541667,2,2
2024021226,2025-04-06,BUF,BOS,0.509434,0.490566,2,1
2022021239,2023-04-04,SJS,COL,0.587302,0.412698,1,3
2023021000,2024-03-07,NSH,BUF,0.542373,0.457627,3,3
2022020809,2023-02-06,NYR,CGY,0.433333,0.566667,3,3
2023021228,2024-04-07,DET,BUF,0.5,0.5,2,2
2022020729,2023-01-19,LAK,DAL,0.576923,0.423077,4,4
2021020235,2021-11-16,NYR,MTL,0.490566,0.509434,3,2
2020020692,2021-04-17,PHI,WSH,0.606557,0.393443,4,5
2021020044,2021-10-19,PIT,DAL,0.416667,0.583333,0,0
2020020003,2021-01-13,TOR,MTL,0.539683,0.460317,4,3
2024021268,2025-04-12,FLA,BUF,0.615385,0.384615,3,3
2022020904,2023-02-20,CGY,PHI,0.581081,0.418919,4,2
2023021054,2024-03-14,MIN,ANA,0.545455,0.454545,2,1
2021021252,2022-04-23,TBL,NSH,0.442623,0.557377,2,4
2023021099,2024-03-21,CAR,PHI,0.440678,0.559322,2,3
2024020977,2025-03-04,PHI,CGY,0.516129,0.483871,4,2
2023020101,2023-10-26,CAR,SEA,0.561644,0.438356,1,1
2020020821,2021-05-03,MIN,VGK,0.432836,0.567164,2,3
2022020251,2022-11-15,PIT,TOR,0.54902,0.45098,3,1
2020020738,2021-04-23,BUF,BOS,0.454545,0.545455,3,1
2020030111,2021-05-16,PIT,NYI,0.528571,0.471429,3,2
2020030325,2021-06-21,TBL,NYI,0.509091,0.490909,6,2
2023020041,2023-10-17,MTL,MIN,0.545455,0.454545,5,8
2020020276,2021-02-19,CGY,EDM,0.540541,0.459459,3,2
2024020743,2025-01-20,VGK,STL,0.485714,0.514286,2,2
2021020893,2022-03-06,CHI,TBL,0.434783,0.565217,3,2
2022020846,2023-02-12,MTL,EDM,0.27451,0.72549,3,6
2021020953,2022-03-15,TOR,DAL,0.444444,0.555556,2,3
2022020241,2022-11-13,BOS,VAN,0.637931,0.362069,6,6
2020020166,2021-04-20,PIT,NJD,0.546875,0.453125,2,4
2022020985,2023-03-03,EDM,WPG,0.508197,0.491803,9,3
2021020580,2022-01-02,COL,ANA,0.5,0.5,5,2
2020020614,2021-04-06,PHI,BOS,0.565217,0.434783,3,2
2025020799,2026-01-22,WPG,FLA,0.54902,0.45098,2,1
2024020621,2025-01-04,WPG,DET,0.413043,0.586957,2,3
2025020719,2026-01-12,PHI,TBL,0.645833,0.354167,2,4
2022020564,2022-12-29,FLA,MTL,0.587302,0.412698,6,4
2023020975,2024-03-04,CBJ,VGK,0.451613,0.548387,2,1
2021020734,2022-01-23,CBJ,OTT,0.481481,0.518519,2,3
2022020002,2022-10-08,SJS,NSH,0.507246,0.492754,4,3
2022020901,2023-02-19,ARI,CBJ,0.465517,0.534483,1,3
2023021075,2024-03-17,CBJ,WPG,0.542373,0.457627,2,1
2021020376,2021-12-04,VAN,PIT,0.428571,0.571429,3,6
2024020330,2024-11-23,NYI,STL,0.641509,0.358491,2,1
2022021030,2023-03-09,CAR,PHI,0.630435,0.369565,4,1
2023021192,2024-04-02,NYI,CHI,0.617021,0.382979,2,1
2024020145,2024-10-28,UTA,SJS,0.541667,0.458333,2,4
2025020433,2025-12-04,CGY,MIN,0.509434,0.490566,1,5
2021020008,2021-10-14,OTT,TOR,0.457627,0.542373,4,5
2020020093,2021-01-26,BOS,PIT,0.69697,0.30303,3,6
2025020024,2025-10-11,BOS,BUF,0.535714,0.464286,4,4
2023020200,2023-11-09,WPG,NSH,0.482143,0.517857,4,5
2023020749,2024-01-25,OTT,BOS,0.509091,0.490909,6,1
2023020444,2023-12-13,NYI,ANA,0.514706,0.485294,4,2
2021020726,2022-01-22,WSH,OTT,0.716981,0.283019,2,2
2020020496,2021-03-22,NYR,BUF,0.444444,0.555556,3,2
2021020449,2021-12-14,VAN,CBJ,0.534247,0.465753,2,1
2020020697,2021-04-18,VAN,TOR,0.469388,0.530612,1,4
2024020522,2024-12-20,DET,MTL,0.5,0.5,4,2
2021021122,2022-04-05,SJS,EDM,0.54,0.46,3,2
2020020590,2021-04-03,FLA,CBJ,0.526316,0.473684,4,1
